split,cohort,model,c_index
34,Kao,M2EFM_ExpClin,0.687295490112392
34,Kao,Clinical,0.626191492388676
34,Terunuma,M2EFM_Molecular,0.638279192273925
34,Terunuma,M2EFM_ExpClin,0.679543459174715
34,Terunuma,Clinical,0.657594381035997
35,TCGA_test,M2EFM_Molecular,0.756053111168966
35,TCGA_test,M2EFM_ExpClin,0.772715438687842
35,TCGA_test,Clinical,0.714267117938037
35,Kao,M2EFM_Molecular,0.701095461658842
35,Kao,M2EFM_ExpClin,0.741878882723953
35,Kao,Clinical,0.65777493242282
35,Terunuma,M2EFM_Molecular,0.645302897278314
35,Terunuma,M2EFM_ExpClin,0.695346795434592
35,Terunuma,Clinical,0.658472344161545
36,TCGA_test,M2EFM_Molecular,0.709394205443371
36,TCGA_test,M2EFM_ExpClin,0.829089844893181
36,TCGA_test,Clinical,0.829528826455956
36,Kao,M2EFM_Molecular,0.698439797031346
36,Kao,M2EFM_ExpClin,0.705600607009058
36,Kao,Clinical,0.621022430881586
36,Terunuma,M2EFM_Molecular,0.63476733977173
36,Terunuma,M2EFM_ExpClin,0.695346795434592
36,Terunuma,Clinical,0.665496049165935
37,TCGA_test,M2EFM_Molecular,0.695935924058143
37,TCGA_test,M2EFM_ExpClin,0.742212993177099
37,TCGA_test,Clinical,0.746959359240582
37,Kao,M2EFM_Molecular,0.685967657798644
37,Kao,M2EFM_ExpClin,0.698344951866079
37,Kao,Clinical,0.608170910987812
37,Terunuma,M2EFM_Molecular,0.637401229148376
37,Terunuma,M2EFM_ExpClin,0.697102721685689
37,Terunuma,Clinical,0.660228270412643
38,TCGA_test,M2EFM_Molecular,0.657225994180407
38,TCGA_test,M2EFM_ExpClin,0.71290009699321
38,TCGA_test,Clinical,0.695150339476237
38,Kao,M2EFM_Molecular,0.688433632095604
38,Kao,M2EFM_ExpClin,0.689571774078816
38,Kao,Clinical,0.610684307867406
38,Terunuma,M2EFM_Molecular,0.608428446005268
38,Terunuma,M2EFM_ExpClin,0.678665496049166
38,Terunuma,Clinical,0.662862159789289
39,TCGA_test,M2EFM_Molecular,0.59529702970297
39,TCGA_test,M2EFM_ExpClin,0.740408415841584
39,TCGA_test,Clinical,0.818997524752475
39,Kao,M2EFM_Molecular,0.691942903210509
39,Kao,M2EFM_ExpClin,0.707876890975483
39,Kao,Clinical,0.642078057571015
39,Terunuma,M2EFM_Molecular,0.623353819139596
39,Terunuma,M2EFM_ExpClin,0.699736611062335
39,Terunuma,Clinical,0.66198419666374
40,TCGA_test,M2EFM_Molecular,0.77831715210356
40,TCGA_test,M2EFM_ExpClin,0.800970873786408
40,TCGA_test,Clinical,0.711165048543689
40,Kao,M2EFM_Molecular,0.707544932897046
40,Kao,M2EFM_ExpClin,0.719495423720776
40,Kao,Clinical,0.622682221273771
40,Terunuma,M2EFM_Molecular,0.632133450395083
40,Terunuma,M2EFM_ExpClin,0.705004389815628
40,Terunuma,Clinical,0.665496049165935
41,TCGA_test,M2EFM_Molecular,0.562975285171103
41,TCGA_test,M2EFM_ExpClin,0.688688212927757
41,TCGA_test,Clinical,0.704372623574145
41,Kao,M2EFM_Molecular,0.67951818656044
41,Kao,M2EFM_ExpClin,0.69540475174278
41,Kao,Clinical,0.622871911604306
41,Terunuma,M2EFM_Molecular,0.609306409130817
41,Terunuma,M2EFM_ExpClin,0.68305531167691
41,Terunuma,Clinical,0.664618086040386
42,TCGA_test,M2EFM_Molecular,0.645439260193359
42,TCGA_test,M2EFM_ExpClin,0.706809583858764
42,TCGA_test,Clinical,0.730348886086591
42,Kao,M2EFM_Molecular,0.695547019490681
42,Kao,M2EFM_ExpClin,0.730639730639731
42,Kao,Clinical,0.636055389576516
42,Terunuma,M2EFM_Molecular,0.662862159789289
42,Terunuma,M2EFM_ExpClin,0.692712906057946
42,Terunuma,Clinical,0.662862159789289
43,TCGA_test,M2EFM_Molecular,0.754656390494541
43,TCGA_test,M2EFM_ExpClin,0.810961250267609
43,TCGA_test,Clinical,0.741061871119675
43,Kao,M2EFM_Molecular,0.699245980936122
43,Kao,M2EFM_ExpClin,0.697681035709205
43,Kao,Clinical,0.585692606819367
43,Terunuma,M2EFM_Molecular,0.643546971027217
43,Terunuma,M2EFM_ExpClin,0.695346795434592
43,Terunuma,Clinical,0.656716417910448
44,TCGA_test,M2EFM_Molecular,0.676283748014823
44,TCGA_test,M2EFM_ExpClin,0.773689782953944
44,TCGA_test,Clinical,0.74708840656432
44,Kao,M2EFM_Molecular,0.690994451557832
44,Kao,M2EFM_ExpClin,0.722151088348272
44,Kao,Clinical,0.640228576848295
44,Terunuma,M2EFM_Molecular,0.656716417910448
44,Terunuma,M2EFM_ExpClin,0.705882352941176
44,Terunuma,Clinical,0.659350307287094
45,TCGA_test,M2EFM_Molecular,0.676520750426379
45,TCGA_test,M2EFM_ExpClin,0.771461057418988
45,TCGA_test,Clinical,0.77927799886299
45,Kao,M2EFM_Molecular,0.698344951866079
45,Kao,M2EFM_ExpClin,0.717124294589083
45,Kao,Clinical,0.629605918338313
45,Terunuma,M2EFM_Molecular,0.673397717295874
45,Terunuma,M2EFM_ExpClin,0.712028094820018
45,Terunuma,Clinical,0.659350307287094
46,TCGA_test,M2EFM_Molecular,0.665526090675791
46,TCGA_test,M2EFM_ExpClin,0.761548331907613
46,TCGA_test,Clinical,0.779191616766467
46,Kao,M2EFM_Molecular,0.683311993171148
46,Kao,M2EFM_ExpClin,0.694645990420638
46,Kao,Clinical,0.648432683643951
46,Terunuma,M2EFM_Molecular,0.603160667251975
46,Terunuma,M2EFM_ExpClin,0.691834942932397
46,Terunuma,Clinical,0.664618086040386
47,TCGA_test,M2EFM_Molecular,0.668029644773831
47,TCGA_test,M2EFM_ExpClin,0.779964221824687
47,TCGA_test,Clinical,0.78060311781242
47,Kao,M2EFM_Molecular,0.687817138521364
47,Kao,M2EFM_ExpClin,0.706406790913833
47,Kao,Clinical,0.611822449850619
47,Terunuma,M2EFM_Molecular,0.633011413520632
47,Terunuma,M2EFM_ExpClin,0.681299385425812
47,Terunuma,Clinical,0.663740122914838
48,TCGA_test,M2EFM_Molecular,0.696772443721183
48,TCGA_test,M2EFM_ExpClin,0.760238676430703
48,TCGA_test,Clinical,0.69297531868728
48,Kao,M2EFM_Molecular,0.705600607009058
48,Kao,M2EFM_ExpClin,0.713093375065206
48,Kao,Clinical,0.612913169251197
48,Terunuma,M2EFM_Molecular,0.616330114135206
48,Terunuma,M2EFM_ExpClin,0.687445127304653
48,Terunuma,Clinical,0.66198419666374
49,TCGA_test,M2EFM_Molecular,0.71407249466951
49,TCGA_test,M2EFM_ExpClin,0.823454157782516
49,TCGA_test,Clinical,0.837100213219616
49,Kao,M2EFM_Molecular,0.695973822734386
49,Kao,M2EFM_ExpClin,0.723573765827287
49,Kao,Clinical,0.647484231991274
49,Terunuma,M2EFM_Molecular,0.655838454784899
49,Terunuma,M2EFM_ExpClin,0.701492537313433
49,Terunuma,Clinical,0.664618086040386
